Date,Price
2016-10-16,11.93
2016-10-17,11.86
2016-10-18,12.0
2016-10-19,11.91
2016-10-20,12.0
2016-10-21,12.02
2016-10-22,11.95
2016-10-23,11.94
2016-10-24,11.91
2016-10-25,11.15
2016-10-26,11.38
2016-10-27,11.26
2016-10-28,10.95
2016-10-29,9.56
2016-10-30,10.29
2016-10-31,10.94
2016-11-01,10.3
2016-11-02,10.69
2016-11-03,10.76
2016-11-04,10.82
2016-11-05,10.88
2016-11-06,10.85
2016-11-07,10.78
2016-11-08,10.74
2016-11-09,10.22
2016-11-10,10.51
2016-11-11,10.26
2016-11-12,9.7
2016-11-13,9.84
2016-11-14,9.96
2016-11-15,9.85
2016-11-16,9.93
2016-11-17,9.92
2016-11-18,9.48
2016-11-19,9.48
2016-11-20,9.52
2016-11-21,9.54
2016-11-22,9.59
2016-11-23,9.76
2016-11-24,8.93
2016-11-25,9.21
2016-11-26,9.31
2016-11-27,8.78
2016-11-28,8.72
2016-11-29,7.88
2016-11-30,8.16
2016-12-01,8.36
2016-12-02,7.42
2016-12-03,7.67
2016-12-04,7.44
2016-12-05,6.66
2016-12-06,5.98
2016-12-07,7.33
2016-12-08,8.23
2016-12-09,8.05
2016-12-10,8.02
2016-12-11,8.1
2016-12-12,8.17
2016-12-13,8.35
2016-12-14,8.25
2016-12-15,7.72
2016-12-16,7.8
2016-12-17,7.52
2016-12-18,7.72
2016-12-19,7.63
2016-12-20,7.57
2016-12-21,7.66
2016-12-22,7.5
2016-12-23,7.16
2016-12-24,7.15
2016-12-25,7.14
2016-12-26,7.05
2016-12-27,7.09
2016-12-28,7.08
2016-12-29,7.54
2016-12-30,8.05
2016-12-31,7.91
2017-01-01,7.98
2017-01-02,8.05
2017-01-03,8.32
2017-01-04,9.56
2017-01-05,9.4
2017-01-06,9.63
2017-01-07,9.59
2017-01-08,9.83
2017-01-09,10.14
2017-01-10,10.29
2017-01-11,9.46
2017-01-12,9.18
2017-01-13,9.51
2017-01-14,9.44
2017-01-15,9.6
2017-01-16,9.58
2017-01-17,9.54
2017-01-18,9.94
2017-01-19,10.18
2017-01-20,10.35
2017-01-21,10.58
2017-01-22,10.58
2017-01-23,10.67
2017-01-24,10.57
2017-01-25,10.48
2017-01-26,10.51
2017-01-27,10.44
2017-01-28,10.43
2017-01-29,10.45
2017-01-30,10.47
2017-01-31,10.55
2017-02-01,10.56
2017-02-02,10.55
2017-02-03,10.76
2017-02-04,11.13
2017-02-05,11.32
2017-02-06,11.34
2017-02-07,11.41
2017-02-08,11.24
2017-02-09,10.67
2017-02-10,10.78
2017-02-11,11.24
2017-02-12,11.3
2017-02-13,11.17
2017-02-14,11.29
2017-02-15,12.64
2017-02-16,12.54
2017-02-17,12.66
2017-02-18,12.68
2017-02-19,12.71
2017-02-20,12.43
2017-02-21,12.21
2017-02-22,12.55
2017-02-23,12.56
2017-02-24,12.88
2017-02-25,12.98
2017-02-26,13.4
2017-02-27,14.27
2017-02-28,15.12
2017-03-01,15.56
2017-03-02,16.95
2017-03-03,18.41
2017-03-04,18.62
2017-03-05,18.23
2017-03-06,19.11
2017-03-07,18.64
2017-03-08,16.65
2017-03-09,16.37
2017-03-10,17.68
2017-03-11,19.01
2017-03-12,21.38
2017-03-13,23.5
2017-03-14,27.32
2017-03-15,28.43
2017-03-16,35.36
2017-03-17,38.21
2017-03-18,31.7
2017-03-19,35.34
2017-03-20,42.44
2017-03-21,42.37
2017-03-22,39.69
2017-03-23,41.3
2017-03-24,43.21
2017-03-25,48.31
2017-03-26,49.28
2017-03-27,48.93
2017-03-28,49.15
2017-03-29,50.55
2017-03-30,51.87
2017-03-31,47.38
2017-04-01,48.88
2017-04-02,45.43
2017-04-03,43.41
2017-04-04,41.72
2017-04-05,44.54
2017-04-06,40.9
2017-04-07,41.65
2017-04-08,41.73
2017-04-09,42.89
2017-04-10,42.42
